;;;Aufgabe;;Minimalfahrplan;wichtigkeit;Teste Dich;AFB I;AFB II;AFB III;Grundwissen;K1;K2;K3;K4;K5;K6
;3;4;13;;;;;;;1;;;1;1;;;
;3;4;14;;;;;;;;1;;;;;1;
;3;5;;Multiplizieren von Dezimalbrüchen (4 Aufgaben);;;;;;;;;;;;;
;3;5;1;;1;;;1;;;;;;;;1;
;3;5;2;;;;;1;;;;;;;;1;
;3;5;3;;;;;1;;;;;;;;1;
;3;5;4;;1;;;1;;;;;;;;;1
;3;5;5;;1;;;1;;;;;;;;1;
;3;5;6;;1;;;1;;;;;1;;;;1
;3;5;7;;;;;1;;;;;;1;;;
;3;5;8;;1;;1;;;;;;;;;1;
;3;5;9;;1;;1;;;;;;;1;;;
;3;5;10;;1;;;;1;;;;;1;;;
;3;5;11;;1;;;;1;;;1;1;;;;1
;3;5;12;;;;;;1;;;;1;;;;
;3;5;13;;;;;;1;;;;1;1;;;
;3;5;14;;1;;;;1;;;;1;;1;;
;3;5;15;;;;;;1;;;;1;;;;1
;3;5;16;;1;;;;1;;;;1;;1;;
;3;5;17;;1;;;;1;;;;1;1;;;
;3;5;18;;;;;;1;;;;1;;;1;
;3;5;19;;1;;;;1;;;1;;1;;;1
;3;5;20;;;;;;1;;;;1;1;;;
;3;5;21;;1;;1;;;;;;;;;1;
;3;5;22;;1;;1;;;;;;;1;;;
;3;5;23;;1;;;;;1;;1;1;;;;
;3;5;24;;;;;;;1;;1;;1;;;1
;3;5;25;;;;;;;;1;;;;1;;
;3;6;;Dividieren von Dezimalbrüchen (4 Aufgaben);;;;;;;;;;;;;
;3;6;1;;1;;;1;;;;;;;;1;
;3;6;2;;1;;;1;;;;;;;;1;
;3;6;3;;1;;;1;;;;;1;1;;;
;3;6;4;;;;;1;;;;1;;1;;;
;3;6;5;;1;;;1;;;;;1;;;;1
